iter	Passed	Remaining
878	2289	315
879	2291	312
880	2292	309
881	2294	306
882	2295	304
883	2298	301
884	2300	298
885	2302	296
886	2304	293
887	2305	290
888	2307	288
889	2308	285
890	2310	282
891	2311	279
892	2312	277
893	2314	274
894	2316	271
895	2318	269
896	2319	266
897	2320	263
898	2322	260
899	2323	258
900	2324	255
901	2325	252
902	2327	249
903	2328	247
904	2330	244
905	2332	241
906	2334	239
907	2335	236
908	2336	233
909	2337	231
910	2339	228
911	2340	225
912	2341	223
913	2343	220
914	2345	217
915	2347	215
916	2348	212
917	2350	209
918	2352	207
919	2354	204
920	2355	202
921	2361	199
922	2363	197
923	2366	194
924	2367	191
925	2368	189
926	2371	186
927	2373	184
928	2375	181
929	2377	178
930	2380	176
931	2382	173
932	2384	171
933	2386	168
934	2389	166
935	2394	163
936	2396	161
937	2401	158
938	2403	156
939	2405	153
940	2409	151
941	2411	148
942	2413	145
943	2416	143
944	2418	140
945	2420	138
946	2422	135
947	2424	132
948	2426	130
949	2427	127
950	2429	125
951	2430	122
952	2432	119
953	2436	117
954	2439	114
955	2443	112
956	2445	109
957	2447	107
958	2448	104
959	2453	102
960	2458	99
961	2459	97
962	2461	94
963	2462	91
964	2463	89
965	2466	86
966	2469	84
967	2472	81
968	2474	79
969	2475	76
970	2477	73
971	2479	71
972	2482	68
973	2486	66
974	2488	63
975	2490	61
976	2491	58
977	2493	56
978	2495	53
979	2498	50
980	2501	48
981	2502	45
982	2504	43
983	2505	40
984	2506	38
985	2508	35
986	2510	33
987	2512	30
988	2514	27
989	2516	25
990	2517	22
991	2520	20
992	2524	17
993	2527	15
994	2530	12
995	2532	10
996	2535	7
997	2537	5
998	2539	2
999	2543	0
